series_description,frequency,cleaned_series_names,comment,,,,Index
Gre_Cine_SAX,,SAX,Merged name of Gre_Cine_SAX_b{slice_number},,,,
Trufi_Cine_SAX,,SAX,Merged name of Trufi_Cine_SAX_b{slice_number},,,,
TRUFI_SA_CINE_12s-4BH,4590,SAX,,,,,SAX = cinematic short axis
short_axis_cine,1794,SAX,,,,,4CH= cinematic 4 chamber
tf2d22_retro_iPAT-SA(14sl),1590,SAX,,,,,3CH= cinematic 3 chamber
tfl2d_25_t1_2cycles,1118,LGE_SAX,,,,,2CH= cinematic 2 chamber
TRUFI_SA_CINE_12s-3BH,1117,SAX,,,,,LGE_SAX = late gadolinium enhanced short axis
tf2d22_retro_iPAT-SA(12sl),1024,SAX,,,,,LGE_4CH = late gadolinium enhanced 4CH
dynamic_test,992,,,,,,LGE_3CH = late gadolinium enhanced 3CH
trufi_loc_multi_iPAT,822,,X,,,,LGE_2CH = late gadolinium enhanced 2CH
trufi_loc_multi_iPAT@c,806,,X,,,,"LGE_LAX = combination of LGE 4CH,3CH,2CH with one description"
trufi_sa,795,SAX_no_cine,,,,,"SAX_no_cine = short-axis, but not cine and not lge. Seems to be for defining the short axis locations or something."
TI_SCOUT_4CHV,787,,X,,,,LGE_SAX_LAX = contains both LGE SAX and LAX
dynamic_stress,764,,X,,,,
TRUFI_2CHV_CINE,629,2CH,,,,,
TRUFI_3CHV-CINE,620,3CH,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-SA,552,LGE_SAX,,,,,General notes:
trufi_la,460,,X,,,,"There seems to be a difference between gre, trufi and se cine, which might be relevant if a model is not trained on all of these https://mriquestions.com/uploads/3/4/5/7/34572113/true_fisp.pdf "
tf2d18_korte_as_cine_10sl,436,SAX,not checked yet,,,,
TRUFI_4chv_CINE,408,4CH,,,,,
Localizer,393,,X,,,,
Trufi_Cine_LAX_3Ch,361,3CH,not checked yet,,,,
tfi_single-shot_(4CHV)_doorademen,345,LGE_4CH,,,,,
tfl2d_25_t1_DHE(BREATH-HELD),341,LGE_SAX_LAX,In at least one patient contains SAX and 3CH LGE,,,,
Trufi_Cine_LAX_2Ch,341,2CH,not checked yet,,,,
AAHeart_Scout,340,,X,,,,
Trufi_Cine_LAX_4Ch,329,4CH,not checked yet,,,,
Localizer@Isocenter,322,,X,,,,
tf2d15_retro-triggered,302,SAX,,,,,
tfl2d_25_t1_SA,298,,,,,,
Trufi_Cine_SAX_b1,293,SAX,,,,,
Trufi_Cine_SAX_b2,291,SAX,,,,,
Trufi_Cine_SAX_b3,286,SAX,,,,,
Trufi_Cine_SAX_b7,283,SAX,,,,,
TRUFI_SA_CINE_12s,283,,,,,,
tse_11_db_t1_iPAT-SA,282,,,,,,
Trufi_Cine_SAX_b4,282,SAX,,,,,
Trufi_Cine_SAX_b5,281,SAX,,,,,
Trufi_Cine_SAX_b6,278,SAX,,,,,
tf2d22_retro_iPAT-14s-25ph,277,SAX,,,,,
Trufi_Cine_SAX_b9,277,SAX,,,,,
Trufi_Cine_SAX_b8,276,SAX,,,,,
Trufi_Cine_SAX_b10,275,SAX,,,,,
tfi_single-shot_(2CHV),271,LGE_2CH,,,,,
tf2d15_retro_iPAT-3chv,265,,,,,,
tf2d28_10sl_14ph_iPAT,262,,,,,,
TRUFI_4CHV_CINE,261,4CH,,,,,
TI-Scout_Norm_HR,260,,,,,,
tfi_single-shot_(3CHV),259,LGE_3CH,,,,,
tf2d15_retro_iPAT-4chv,257,4CH,not checked yet,,,,
TI_Scout,257,,,,,,
tf2d15_retro_iPAT-2chv,256,3CH,not checked yet,,,,
tfi_single-shot_(SA),250,LGE_SAX,,,,,
Trufi_Cine_SAX_b11,247,SAX,,,,,
tse_11_db_t1_iPAT-SA(12SL),239,,T1,,,,
tfl2d_25_t1_DHE,237,,T1,,,,
DE_High-Res_SAX_PSIR,235,LGE_SAX,not checked yet,,,,
DE_High-Res_SAX_MAG,235,LGE_SAX,not checked yet,,,,
Thorax_Cor_Tra,234,,,,,,
tf2d22_retro_iPAT-14sl,219,SAX,,,,,
tse_17_db_t2_FS,217,,,,,,
tfl20_t1_late_enh_korte_as_PSIR,205,,,,,,
tfl20_t1_late_enh_korte_as_MAG,205,,,,,,
T2_TSE_FS_256_12s_SA,200,,,,,,
two_chamber_cine,200,2CH,,,,,
Trufi_Cine_SAX_b12,190,,,,,,
four_chamber_cine,185,4CH,,,,,
tf2d18_korte_as_cine_12sl,183,SAX,not checked yet,,,,
TRUFI_3CH_RECHTS_CINE,179,3CH,not checked yet,,,,
three_chamber_cine,179,3CH,,,,,
T1Map_SAXs_MOCO_T1,175,,X,,,,
first_pass__5sl_60m,175,,,,,,
T1Map_SAXs,174,,X,,,,
T1Map_SAXs_MOCO,174,,X,,,,
haste__tra_db_2bh_iPAT-axiaal,172,,,,,,
FLASH_4CHV_CINE,170,4CH,not checked yet,,,,
tf2d28_12sl_SA-14ph_iPAT,168,LGE_SAX,not checked yet,,,,
t1_db_korte_as_trig2,167,,,,,,
tfi_single-shot_(SA)_doorademen,165,LGE_SAX,not checked yet,,,,
Define_SAX,156,,,,,,
multi_plane_isocenter_loc,154,,,,,,
Define_na_SAX,153,,,,,,
tfi_single-shot_(MET_'SCAN'),152,,,,,,
tfi_single-shot_(3CHV)_doorademen,152,,,,,,
SURVEY,144,,X,,,,
auto_detect_table_position,143,,,,,,
dynamic_rest,139,,,,,,
tfi_single-shot_(2CHV)_doorademen,132,LGE_2CH,not checked yet,,,,
T1Map_ShortT1_SAXs_MOCO_T1,127,,,,,,
tfi_single-shot_(4CHV),127,LGE_4CH,,,,,
